vehicle_id,ownership,electrification_level,vehicle_type,state,sessions,mean_soc_start,median_soc_start,sd_soc_start,mean_soc_gain,mean_energy,soc_persona,soc_persona_label
600,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,167,67.06586826347305,75.0,22.449712941130617,18.41317365269461,11.226520958083832,1,top-up chargers
601,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,13,55.76923076923077,55.0,22.064881018464032,36.53846153846154,20.326153846153847,0,deep chargers
602,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,111,87.97297297297297,90.0,9.104903233931863,10.36036036036036,6.630864864864864,1,top-up chargers
603,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,298,80.23489932885906,80.0,7.301482033725833,15.46979865771812,9.463520134228187,1,top-up chargers
605,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,175,68.88571428571429,75.0,15.602408133780848,22.37142857142857,13.723834285714284,1,top-up chargers
606,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,75,76.53333333333333,80.0,13.481051099181355,21.0,12.69288,1,top-up chargers
607,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,84,84.58333333333333,85.0,7.573269945715838,15.05952380952381,9.10627380952381,1,top-up chargers
608,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,24,85.625,90.0,12.09675666197888,11.041666666666666,6.523625,1,top-up chargers
609,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,28,51.964285714285715,42.5,29.228958424514733,24.464285714285715,13.764642857142857,0,deep chargers
611,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Washington,98,72.90816326530613,75.0,16.496226831745787,14.642857142857142,9.392102040816328,1,top-up chargers
612,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Texas,41,56.951219512195124,60.0,19.42543592755668,20.0,11.502439024390245,0,deep chargers
618,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Other,9,42.77777777777778,45.0,20.632364005233246,16.11111111111111,3.6370666666666662,0,deep chargers
619,Fleet,BEV (Battery Electric Vehicle),PASSENGER CAR,Other,11,39.54545454545455,30.0,25.53963052341845,15.0,3.2556,0,deep chargers
