hour,is_weekend,energy_kwh,total_duration,charge_duration,is_dcfc,overstay_hours,venue,land_use,cluster,pca1,pca2
16,0,23.0651,13.616944444444444,3.031944444444445,0,10.584999999999999,Single Family Residential,Metro Area,1,2.165833351118542,0.021678293102345838
13,1,3.951161,23.267777777777777,1.8988888888888888,0,21.36888888888889,Multi-Unit Dwelling,Metro Area,5,1.9542345672227326,0.8455216533651865
21,0,37.891701,11.25,5.049722222222222,0,6.200277777777778,Single Family Residential,Metro Area,1,2.2529033930555578,0.121498888400059
16,0,59.395,1.5058333333333334,1.4538888888888888,1,0.05194444444444457,Corridor,Metro Area,3,-2.488501212907289,0.40034416155519076
19,1,26.293259000000003,4.318611111111111,4.311388888888889,0,0.007222222222222463,Multi-Unit Dwelling,Metro Area,5,0.6800648633086126,1.1813810632145965
16,1,2.9760000000000004,1.361388888888889,0.9441666666666668,0,0.41722222222222216,Hotel,Metro Area,0,-0.6794181608023631,0.3115583556782497
9,1,1.2218,23.6725,0.4611111111111112,0,23.211388888888887,Single Family Residential,Metro Area,1,1.6803609458405522,-0.4563014584346081
13,0,22.898001,0.3975,0.3941666666666666,1,0.0033333333333334103,Corridor,Metro Area,3,-3.279701651147161,0.23026081845421834
21,1,24.4555,12.825,2.621111111111111,0,10.203888888888889,Single Family Residential,Metro Area,1,2.046017862002921,-0.1491282865997945
8,0,6.541,8.483611111111113,2.240555555555556,0,6.243055555555557,Business Office,Metro Area,0,0.9509931624721542,0.7717710858588321
17,0,2.622875,0.3875,0.38,0,0.007500000000000007,Retail,Metro Area,0,-1.5504640516198303,0.33560234629871694
16,0,23.1828,14.116111111111111,2.6222222222222222,0,11.49388888888889,Single Family Residential,Metro Area,1,2.1404289907119587,-0.000596110779528457
18,0,18.735,2.943055555555556,2.943055555555556,0,0.0,Medical or Educational Campus,Metro Area,0,0.08500121717793259,0.8477806925381778
18,1,27.307199,13.031944444444443,3.872777777777778,0,9.159166666666666,Single Family Residential,Metro Area,1,2.199557802615917,-0.05633816959284255
13,0,5.8956,26.08,1.0802777777777777,0,24.99972222222222,Single Family Residential,Metro Area,1,2.1905842477663575,-0.2187520889154878
14,0,3.608,0.0536111111111111,0.0536111111111111,1,0.0,Undesignated,Metro Area,3,-3.558456558475198,0.1866897596814625
15,0,0.38544,0.1277777777777777,0.1241666666666666,0,0.0036111111111111066,Retail,Metro Area,0,-1.8946510634969302,0.22035015451195764
13,0,13.5011,1.8394444444444444,1.8363888888888888,0,0.003055555555555589,Single Family Residential,Metro Area,1,0.15842014518309405,0.021677466951032145
6,0,21.249599,2.9058333333333333,2.9027777777777777,0,0.003055555555555589,Single Family Residential,Undesignated,2,0.6290110423426145,-4.175037667425882
19,0,23.249302,15.343055555555557,4.7,0,10.643055555555556,Multi-Unit Dwelling,Metro Area,5,2.2142528676688347,1.2089205805111518
11,0,30.088,4.977222222222222,4.973611111111111,0,0.0036111111111107874,Medical or Educational Campus,Metro Area,0,0.5377991821888847,1.0460272918609061
13,1,37.851002,0.9658333333333332,0.9372222222222222,1,0.02861111111111103,Corridor,Undesignated,2,-2.727158918021933,-4.184767413076816
9,0,26.647546999999996,5.742222222222222,5.397777777777778,0,0.3444444444444441,Multi-Unit Dwelling,Metro Area,5,0.9753648557612404,1.4328342111791832
17,0,0.953,0.3169444444444444,0.3063888888888889,0,0.01055555555555554,Leisure Destination,Metro Area,0,-1.5478147241839852,0.08966243282190305
9,1,6.174999,1.1005555555555555,1.0786111111111112,0,0.021944444444444322,Retail,Metro Area,0,-1.1499154968969576,0.45776365533822194
23,1,29.3041,4.001388888888889,3.997777777777778,0,0.0036111111111112315,Single Family Residential,Metro Area,1,0.905170058305533,0.0048071998178695575
17,0,2.28,0.3533333333333333,0.3527777777777778,0,0.0005555555555554759,Single Family Residential,Metro Area,1,-0.7937592855025482,-0.3085946292321593
3,0,58.080002,0.6183333333333333,0.6122222222222222,1,0.006111111111111067,Undesignated,Metro Area,3,-3.028514416411431,0.7243014910260686
12,0,44.623001,0.8130555555555555,0.8097222222222222,1,0.0033333333333332993,Undesignated,Undesignated,2,-2.577326340328173,-3.871556156321907
6,0,33.647853999999995,5.705277777777778,5.701388888888889,0,0.0038888888888886086,Business Office,Metro Area,0,0.6392658920129918,1.1742997071271917
9,0,8.97072,1.896388888888889,1.6525,0,0.24388888888888882,Medical or Educational Campus,Metro Area,0,-0.40702447539401726,0.7948119298845505
15,0,13.921,2.214722222222222,1.6833333333333331,1,0.5313888888888889,Undesignated,Metro Area,3,-2.1206277803918616,0.4603072009508767
19,1,36.107758,6.029722222222222,6.0125,0,0.01722222222222225,Multi-Unit Dwelling,Metro Area,5,1.0321923952419614,1.2659809093977146
15,0,4.26971,1.1458333333333333,1.1425,0,0.0033333333333331883,Fleet,Metro Area,0,-0.3448699127204819,0.8525516651622469
