id,vehicle_id,start_datetime,stop_datetime,duration,energy_kwh,soc_start,soc_stop,rucc_id,flag_id
622304,1060,2022-07-30 07:40:00,2022-07-30 07:40:00,0.0072222222222222,0.6,,,2.0,576
622305,984,2022-07-30 08:10:00,2022-07-30 11:00:00,2.674722222222222,13.2325,,,1.0,512
622306,1060,2022-07-30 08:20:00,2022-07-30 08:20:00,0.0161111111111111,0.6,,,2.0,576
622307,1060,2022-07-30 08:30:00,2022-07-30 08:30:00,0.0158333333333333,0.6,65.0,70.0,2.0,576
622308,1060,2022-07-30 08:30:00,2022-07-30 08:30:00,0.0061111111111111,0.6,,,2.0,576
622309,147,2022-07-30 08:30:00,2022-07-30 09:10:00,0.6238888888888889,23.5521,40.0,75.0,6.0,512
622310,1013,2022-07-30 08:50:00,2022-07-30 11:30:00,2.6930555555555555,11.2,70.0,100.0,1.0,512
622311,1023,2022-07-30 08:50:00,2022-07-30 09:10:00,0.2688888888888889,0.882,100.0,100.0,1.0,512
622312,1060,2022-07-30 09:00:00,2022-07-30 09:00:00,0.0086111111111111,0.6,,,2.0,576
622313,683,2022-07-30 06:00:00,2022-07-30 06:00:00,0.0394444444444444,0.4732,,,1.0,576
622314,885,2022-07-30 09:00:00,2022-07-30 09:50:00,0.8508333333333333,7.938,65.0,80.0,2.0,512
622315,679,2022-07-30 09:40:00,2022-07-30 11:00:00,1.376111111111111,1.96,,,8.0,512
622316,653,2022-07-30 10:40:00,2022-07-30 12:10:00,1.5091666666666668,1.96,,,1.0,512
622317,228,2022-07-30 08:40:00,2022-07-30 09:10:00,0.3852777777777778,1.96,,,1.0,512
622318,681,2022-07-30 09:50:00,2022-07-30 09:50:00,0.0225,0.1645,,,2.0,64
622319,1023,2022-07-30 11:00:00,2022-07-30 11:50:00,0.8066666666666666,1.26,,,1.0,512
622320,1070,2022-07-30 11:00:00,2022-07-30 11:20:00,0.1991666666666666,11.025,65.0,85.0,2.0,512
622321,78,2022-07-30 09:20:00,2022-07-30 17:00:00,7.564722222222223,32.24,50.0,100.0,1.0,512
622322,59,2022-07-30 09:50:00,2022-07-30 15:40:00,5.785555555555556,38.44,,,1.0,0
622323,649,2022-07-30 12:00:00,2022-07-30 13:10:00,1.2647222222222223,1.3097,85.0,95.0,1.0,512
622324,685,2022-07-30 11:10:00,2022-07-30 11:20:00,0.0497222222222222,0.2198,,,2.0,0
622325,24,2022-07-30 13:10:00,2022-07-30 13:10:00,0.0077777777777777,0.3,70.0,70.0,1.0,576
