connector_id,evse_id,connector_number,connector_type,power_kw
16125,11663,2,J1772,<8 kW
16126,11664,2,J1772,<8 kW
16136,11674,2,J1772,<8 kW
16970,11675,1,J1772,<8 kW
16138,11676,2,J1772,<8 kW
16139,11677,2,J1772,<8 kW
16129,11667,2,J1772,<8 kW
16130,11668,2,J1772,<8 kW
16995,11702,1,J1772,<8 kW
16167,11710,2,J1772,<8 kW
17072,11846,1,J1772,<8 kW
17073,11847,1,J1772,<8 kW
17074,11848,1,J1772,<8 kW
17075,11849,1,J1772,<8 kW
17076,11850,1,J1772,<8 kW
16245,11851,2,J1772,<8 kW
16246,11852,2,J1772,<8 kW
16247,11853,2,J1772,<8 kW
16248,11854,2,J1772,<8 kW
16249,11856,2,J1772,<8 kW
16250,11858,2,J1772,<8 kW
16251,11859,2,J1772,<8 kW
16252,11860,2,J1772,<8 kW
16253,11861,2,J1772,<8 kW
17086,11862,1,J1772,<8 kW
17087,11863,1,J1772,<8 kW
16256,11865,2,J1772,<8 kW
16257,11866,2,J1772,<8 kW
16258,11867,2,J1772,<8 kW
16259,11868,2,J1772,<8 kW
16260,11869,2,J1772,<8 kW
16261,11870,2,J1772,<8 kW
17094,11871,1,J1772,<8 kW
16263,11872,2,J1772,<8 kW
16264,11873,2,J1772,<8 kW
16265,11874,2,J1772,<8 kW
16266,11875,2,J1772,<8 kW
16267,11876,2,J1772,<8 kW
16268,11877,2,J1772,<8 kW
17101,11878,1,J1772,<8 kW
16270,11879,2,J1772,<8 kW
17103,11880,1,J1772,<8 kW
16177,11731,2,J1772,<8 kW
17024,11746,1,J1772,<8 kW
16192,11747,2,J1772,<8 kW
16193,11748,2,J1772,<8 kW
17027,11749,1,J1772,<8 kW
16195,11750,2,J1772,<8 kW
16196,11751,2,J1772,<8 kW
16211,11785,2,J1772,<8 kW
16212,11786,2,J1772,<8 kW
16214,11788,2,J1772,<8 kW
19927,11792,2,J1772,<8 kW
17064,11828,1,J1772,<8 kW
17065,11829,1,J1772,<8 kW
16234,11830,2,J1772,<8 kW
16236,11837,2,J1772,<8 kW
17069,11838,1,J1772,<8 kW
17106,11883,1,J1772,<8 kW
17107,11884,1,J1772,<8 kW
16301,11932,2,J1772,<8 kW
16302,11933,2,J1772,<8 kW
16303,11934,2,J1772,<8 kW
17131,11935,1,J1772,<8 kW
16305,11936,2,J1772,<8 kW
17133,11937,1,J1772,<8 kW
